epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,48.7824,0.76751,1.07157,0.95067,0.71695,0.66667,0.73986,0.55442,1.43177,3.3384,1.37681,0.000189535,0.000189535,0.000189535
43,49.4345,0.99571,1.40255,1.08037,0.69124,0.66667,0.69699,0.58502,1.3232,3.26455,1.33494,0.000184255,0.000184255,0.000184255
44,50.2907,1.03187,1.30535,1.20961,0.69124,0.66667,0.69699,0.58502,1.3232,3.26455,1.33494,0.000178504,0.000178504,0.000178504
45,50.9725,0.83001,0.91688,0.92614,0.67312,0.66667,0.67421,0.57145,1.30009,3.14434,1.31006,0.00017228,0.00017228,0.00017228
46,51.5961,0.93239,1.11749,1.06609,0.67312,0.66667,0.67421,0.57145,1.30009,3.14434,1.31006,0.000165585,0.000165585,0.000165585
47,52.2463,0.73322,0.93975,0.94647,0.67999,0.66667,0.67536,0.57225,1.25127,3.06522,1.28436,0.000158419,0.000158419,0.000158419
48,52.8741,0.80964,0.99996,0.99868,0.67999,0.66667,0.67536,0.57225,1.25127,3.06522,1.28436,0.000150781,0.000150781,0.000150781
49,53.5435,0.86914,1.17079,1.06964,0.69574,0.66667,0.73901,0.62113,1.24352,3.00078,1.29689,0.000142671,0.000142671,0.000142671
50,54.1571,0.74758,0.93618,0.92377,0.69574,0.66667,0.73901,0.62113,1.24352,3.00078,1.29689,0.00013409,0.00013409,0.00013409
51,55.4943,0.69647,1.24582,1.0037,0.67041,0.66667,0.78435,0.6552,1.2655,2.97764,1.29263,0.000125037,0.000125037,0.000125037
52,57.2705,0.87659,1.23558,1.14182,0.67041,0.66667,0.78435,0.6552,1.2655,2.97764,1.29263,0.000115513,0.000115513,0.000115513
53,58.4679,0.72961,1.09148,0.96045,0.67041,0.66667,0.78435,0.6552,1.2655,2.97764,1.29263,0.000105517,0.000105517,0.000105517
54,59.3512,0.64924,1.13646,0.96212,0.78327,0.74369,0.8399,0.68864,1.2402,2.93445,1.28606,9.50499e-05,9.50499e-05,9.50499e-05
55,62.9849,0.75219,1.20817,1.05727,0.78327,0.74369,0.8399,0.68864,1.2402,2.93445,1.28606,8.41109e-05,8.41109e-05,8.41109e-05
56,63.7073,0.7249,1.10243,0.93942,0.78327,0.74369,0.8399,0.68864,1.2402,2.93445,1.28606,7.27004e-05,7.27004e-05,7.27004e-05
57,64.4327,0.70941,1.37872,1.02844,0.79392,0.72745,0.83935,0.63845,1.2385,2.89111,1.29245,6.08182e-05,6.08182e-05,6.08182e-05
58,65.0521,0.63639,1.10566,0.92206,0.79392,0.72745,0.83935,0.63845,1.2385,2.89111,1.29245,4.84645e-05,4.84645e-05,4.84645e-05
59,65.6677,0.5898,1.19849,0.92485,0.79392,0.72745,0.83935,0.63845,1.2385,2.89111,1.29245,3.56393e-05,3.56393e-05,3.56393e-05
60,66.3006,0.63103,1.10638,0.98062,0.79656,0.71066,0.8399,0.70516,1.2477,2.83947,1.29771,2.23424e-05,2.23424e-05,2.23424e-05
